Year,State,County,fcst
2021,CT,New London,65
2021,CT,Tolland,40.56947489
2021,CT,Windham,19.59127854
2021,MI,Allegan,8.469643533
2021,MI,Antrim,0.646416408
2021,MI,Baraga,0.646416408
2021,MI,Barry,0.646416408
2021,MI,Bay,9
2021,MI,Benzie,9.176810717
2021,MI,Berrien,19.64641641
2021,MI,Branch,7.795591463
2021,MI,Calhoun,12.64645425
2021,MI,Cass,4.530394309
2021,MI,Charlevoix,2
2021,MI,Cheboygan,9.060788617
2021,MI,Chippewa,9.060788617
2021,MI,Clare,2.585665632
2021,MI,Clinton,2
2021,MI,Delta,0.969624612
2021,MI,Dickinson,0
2021,MI,Eaton,17.82322712
2021,MI,Emmet,6.646416408
2021,MI,Genesee,10.70720503
2021,MI,Gogebic,0
2021,MI,Grand Traverse,44.00007568
2021,MI,Gratiot,0
2021,MI,Hillsdale,0
2021,MI,Houghton,1
2021,MI,Huron,4.530394309
2021,MI,Ingham,47.97521759
2021,MI,Ionia,0
2021,MI,Iosco,0
2021,MI,Iron,0
2021,MI,Isabella,5
2021,MI,Jackson,11.11605994
2021,MI,Kalamazoo,15.73484069
2021,MI,Kalkaska,0
2021,MI,Kent,78.23767502
2021,MI,Lake,0
2021,MI,Lapeer,1
2021,MI,Leelanau,11.26519715
2021,MI,Lenawee,0
2021,MI,Livingston,2
2021,MI,Mackinac,1
2021,MI,Macomb,59.35917657
2021,MI,Manistee,0
2021,MI,Marquette,0
2021,MI,Mason,2.585665632
2021,MI,Mecosta,24.65197154
2021,MI,Midland,0
2021,MI,Monroe,6
2021,MI,Montcalm,0
2021,MI,Montmorency,4
2021,MI,Muskegon,27.29838795
2021,MI,Newaygo,13.59118293
2021,MI,Oakland,137.9118785
2021,MI,Oceana,2
2021,MI,Ogemaw,0.646416408
2021,MI,Osceola,0
2021,MI,Otsego,22.65197154
2021,MI,Ottawa,29.20174449
2021,MI,Presque Isle,8
2021,MI,Roscommon,0.323208204
2021,MI,Saginaw,8.530394309
2021,MI,St. Clair,15
